,EVSE ID,energia_totale_kwh,ricavi_totali,costo_stimato,indirizzo_stazione
292,IT*F2X*EF2XITH3151*2,648.117,356.41,162.02925,Autostrada dei laghi
293,IT*F2X*EF2XITH3151*3,248.883,111.83,62.22075,Autostrada dei laghi
294,IT*F2X*EF2XITI1001*1,43384.058,29501.15,10846.0145,A9 Autostrada dei laghi
295,IT*F2X*EF2XITI1001*2,54098.736,36787.08,13524.684,A9 Autostrada dei laghi
296,IT*F2X*EF2XITI1002*1,44848.175,30496.68,11212.04375,A9 Autostrada dei laghi
297,IT*F2X*EF2XITI1002*2,27452.283,18667.62,6863.07075,A9 Autostrada dei laghi
298,IT*F2X*EF2XITI1101*1,26232.409,17837.65,6558.10225,A9 Autostrada dei laghi
299,IT*F2X*EF2XITI1101*2,40275.666,27387.52,10068.9165,A9 Autostrada dei laghi
300,IT*F2X*EF2XITI1102*1,39838.542,27090.01,9959.6355,A9 Autostrada dei laghi
301,IT*F2X*EF2XITI1102*2,23856.751,16222.44,5964.18775,A9 Autostrada dei laghi
302,IT*F2X*EF2XITI1151*1,3584.069,1971.16,896.01725,A9 Autostrada dei laghi
303,IT*F2X*EF2XITI1151*2,440.647,242.34,110.16175,A9 Autostrada dei laghi
304,IT*F2X*EF2XITI1151*3,546.015,245.7,136.50375,A9 Autostrada dei laghi
305,IT*F2X*EF2XITJ3001*1,22731.004,15456.74,5682.751,Autostrada dei fiori
306,IT*F2X*EF2XITJ3001*2,23441.888,15939.31,5860.472,Autostrada dei fiori
307,IT*F2X*EF2XITJ3002*1,19091.276,12982.11,4772.819,Autostrada dei fiori
308,IT*F2X*EF2XITJ3002*2,17129.679,11648.15,4282.41975,Autostrada dei fiori
309,IT*F2X*EF2XITJ3051*1,2323.937,1278.17,580.98425,Autostrada dei fiori
310,IT*F2X*EF2XITJ3051*2,470.956,219.61,117.739,Autostrada dei fiori
311,IT*F2X*EF2XITJ3051*3,675.107,303.65,168.77675,Autostrada dei fiori
312,IT*F2X*EF2XITK1101*1,32851.394,22277.04,8212.8485,Autostrada Firenze-Mare
313,IT*F2X*EF2XITK1101*2,20286.314,13794.52,5071.5785,Autostrada Firenze-Mare
314,IT*F2X*EF2XITK1102*1,13718.917,9328.61,3429.72925,Autostrada Firenze-Mare
315,IT*F2X*EF2XITK1102*2,11832.352,8046.07,2958.088,Autostrada Firenze-Mare
316,IT*F2X*EF2XITK1151*1,681.903,374.56,170.47575,Autostrada Firenze-Mare
317,IT*F2X*EF2XITK1151*2,444.067,244.24,111.01675,Autostrada Firenze-Mare
318,IT*F2X*EF2XITK1151*3,361.582,162.14,90.3955,Autostrada Firenze-Mare
319,IT*F2X*EF2XITL2001*1,14379.238,9735.58,3594.8095,A12 civitavecchia - Roma
320,IT*F2X*EF2XITL2001*2,4415.363,3002.47,1103.84075,A12 civitavecchia - Roma
321,IT*F2X*EF2XITL2002*1,6536.163,4444.64,1634.04075,A12 civitavecchia - Roma
322,IT*F2X*EF2XITL2002*2,9657.213,6507.67,2414.30325,A12 civitavecchia - Roma
323,IT*F2X*EF2XITL2051*1,4446.23,2416.4,1111.5575,A12 civitavecchia - Roma
324,IT*F2X*EF2XITL2051*2,188.979,103.92999999999999,47.24475,A12 civitavecchia - Roma
325,IT*F2X*EF2XITL2051*3,537.835,241.89000000000001,134.45875,A12 civitavecchia - Roma
326,IT*F2X*EF2XITL2101*1,22879.990999999998,15508.22,5719.9977499999995,A12 civitavecchia - Roma
327,IT*F2X*EF2XITL2102*1,11568.108,7866.34,2892.027,A12 civitavecchia - Roma
328,IT*F2X*EF2XITL2102*2,14881.008,10118.9,3720.252,A12 civitavecchia - Roma
329,IT*F2X*EF2XITL2151*1,851.285,455.6,212.82125,A12 civitavecchia - Roma
330,IT*F2X*EF2XITL2151*2,84.608,46.53,21.152,A12 civitavecchia - Roma
331,IT*F2X*EF2XITL2151*3,336.158,150.95,84.0395,A12 civitavecchia - Roma
332,IT*F2X*EF2XITL9001*1,20815.824,14154.59,5203.956,A12 Autostrada Azzurra
333,IT*F2X*EF2XITL9001*2,13082.345,8878.37,3270.58625,A12 Autostrada Azzurra
334,IT*F2X*EF2XITL9002*1,25718.508,17488.55,6429.627,A12 Autostrada Azzurra
335,IT*F2X*EF2XITL9002*2,26722.974,18170.97,6680.7435,A12 Autostrada Azzurra
336,IT*F2X*EF2XITL9051*1,1750.379,957.22,437.59475,A12 Autostrada Azzurra
337,IT*F2X*EF2XITL9051*2,386.211,200.0,96.55275,A12 Autostrada Azzurra
338,IT*F2X*EF2XITL9051*3,498.692,224.38,124.673,A12 Autostrada Azzurra
339,IT*F2X*EF2XITL9101*1,27992.039,19007.65,6998.00975,A12 Autostrada Azzurra
340,IT*F2X*EF2XITL9101*2,14965.327,10176.35,3741.33175,A12 Autostrada Azzurra
341,IT*F2X*EF2XITL9102*1,9079.11,6173.8,2269.7775,A12 Autostrada Azzurra
342,IT*F2X*EF2XITL9102*2,14338.459,9749.94,3584.61475,A12 Autostrada Azzurra
343,IT*F2X*EF2XITL9151*1,2196.567,1196.65,549.14175,A12 Autostrada Azzurra
344,IT*F2X*EF2XITL9151*2,262.132,144.17,65.533,A12 Autostrada Azzurra
345,IT*F2X*EF2XITL9151*3,446.448,200.7,111.612,A12 Autostrada Azzurra
346,IT*F2X*EF2XITLINC01*1,34110.656,23195.12,8527.664,Aeroporto Linate Commerciale
347,IT*F2X*EF2XITLINC01*2,53729.816,36536.11,13432.454,Aeroporto Linate Commerciale
348,IT*F2X*EF2XITLINC02*1,37041.752,25188.38,9260.438,Aeroporto Linate Commerciale
349,IT*F2X*EF2XITLINC02*2,48361.86,32885.94,12090.465,Aeroporto Linate Commerciale
350,IT*F2X*EF2XITLINC03*1,34881.204,23719.01,8720.301,Aeroporto Linate Commerciale
351,IT*F2X*EF2XITLINC03*2,51363.572,34927.01,12840.893,Aeroporto Linate Commerciale
352,IT*F2X*EF2XITLINC04*1,30773.702,20906.01,7693.4255,Aeroporto Linate Commerciale
353,IT*F2X*EF2XITLINC04*2,46522.508,31627.98,11630.627,Aeroporto Linate Commerciale
354,IT*F2X*EF2XITLINC05*1,24494.277,16656.08,6123.56925,Aeroporto Linate Commerciale
355,IT*F2X*EF2XITLINC05*2,47997.962,32611.83,11999.4905,Aeroporto Linate Commerciale
356,IT*F2X*EF2XITLINC51*1,8175.856,4496.7,2043.964,Aeroporto Linate - Arrivi
357,IT*F2X*EF2XITLINC51*2,441.967,243.08,110.49175,Aeroporto Linate - Arrivi
358,IT*F2X*EF2XITLINC51*3,5561.61,2502.65,1390.4025,Aeroporto Linate - Arrivi
