EVSE ID,indirizzo_stazione,energia_erogata_kwh,ricavi_totali,costo_stimato,Numero_di_sessioni,within_1km_x,Plug Type,index,connector_evse_id,station_address,station_coordinates_lat,station_coordinates_lon,connector_isSuspended,latitude,longitude,restaurant,fuel,parking,atm,bank,hospital,pub,fast_food,townhall,nightclub,car_wash,conference_centre,payment_terminal,training,school,bus_station,pharmacy,supermarket,post_office,within_1km_y
IT*F2X*EF2XITA2502,"A1, Milano - Napoli",3346.884,2275.7679511215506,836.721,103.0,,,4733.0,IT*F2X*EF2XITA2502,"A1, Milano - Napoli",44.827231,10.379522,0.0,44.827231,10.379522,3.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2551,"A1, Milano - Napoli",341.59000000000003,186.8501624265059,85.39750000000001,29.0,,,4753.0,IT*F2X*EF2XITA2551,"A1, Milano - Napoli",44.827226,10.379641,0.0,44.827226,10.379641,4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2601,"A1, Milano - Napoli",3058.117,2079.470840610534,764.52925,100.0,,,4756.0,IT*F2X*EF2XITA2601,"A1, Milano - Napoli",44.826198,10.378719,0.0,44.826198,10.378719,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2602,"A1, Milano - Napoli",5116.444,3479.1010038777317,1279.111,174.0,,,4764.0,IT*F2X*EF2XITA2602,"A1, Milano - Napoli",44.826184,10.378795,0.0,44.826184,10.378795,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2651,"A1, Milano - Napoli",475.584,251.65968229286625,118.896,33.0,,,4772.0,IT*F2X*EF2XITA2651,"A1, Milano - Napoli",44.826236,10.378697,0.0,44.826236,10.378697,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3001,Autostrada del Sole,158038.512,107466.2509971522,39509.628,4717.0,,,1427.0,IT*F2X*EF2XITA3001,Autostrada del Sole,44.662303,10.858004,0.0,44.662303,10.858004,6.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3002,Autostrada del Sole,148252.4,100811.74117989541,37063.1,4349.0,,,1433.0,IT*F2X*EF2XITA3002,Autostrada del Sole,44.662299,10.857972,0.0,44.662299,10.857972,6.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3003,Autostrada del Sole,16268.231,11062.38,4067.05775,474.0,,,748.0,IT*F2X*EF2XITA3003,Autostrada del Sole,44.662235,10.858016,0.0,44.662235,10.858016,6.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3004,Autostrada del Sole,12896.783,8769.83,3224.19575,387.0,,,886.0,IT*F2X*EF2XITA3004,Autostrada del Sole,44.662234,10.85799,0.0,44.662234,10.85799,6.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA3051,Autostrada del Sole,3977.179,1914.2446655317892,994.29475,776.0,,,1537.0,IT*F2X*EF2XITA3051,Autostrada del Sole,44.66244,10.858156,0.0,44.66244,10.858156,6.0,2.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
