Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
1828,RA8,9.089,Voghiera,FE,175.0,17205,1129
208,SS13,13.004,Preganziol,TV,340.0,17139,354
16020,SS379,8.177,Fasano,BR,360.0,17117,1637
10018,SS3,152.223,Foligno,PG,359.0,17027,742
16021,SS100,24.147,Casamassima,BA,360.0,16975,1414
10050,A29RACC,1.151,Cinisi,PA,349.0,16886,323
513137,SS656,1.11,Chieti,CH,360.0,16875,183
50059,SS9,187.235,Reggio nell'Emilia,RE,359.0,16843,935
735,SS106,464.527,Castellaneta,TA,359.0,16787,2000
1502,SS394,4.701,Casciago,VA,347.0,16765,112
19127,SS114,154.013,Siracusa,SR,200.0,16728,780
16016,SS7,632.371,Massafra,TA,359.0,16649,918
50072,SS9,87.575,Castel San Pietro Terme,BO,252.0,16628,654
50014,SS12VAR-A,0.125,Medolla,MO,358.0,16542,1003
15009,SS7,233.78,Arpaia,BN,360.0,16472,601
505067,SS516DIR,3.714,Campolongo Maggiore,VE,360.0,16242,1035
3466,SS640,60.126,Caltanissetta,CL,360.0,16185,357
920035,SS202,8.751,San Dorligo della Valle,TS,337.0,16115,2594
16013,SS172,69.937,Taranto,TA,360.0,16080,321
3033_NEW,A2,387.737,Rizziconi,RC,361.0,16004,2199
3192,SS14,69.199,Fossalta di Portogruaro,VE,344.0,15945,435
2211,SS33,120.767,Domodossola,VB,297.0,15932,533
2276,SS26,92.456,Nus,AO,155.0,15876,212
412044,SS156,21.818,Prossedi,LT,360.0,15831,1607
1292,SS291VAR,8.506,Sassari,SS,112.0,15634,247
50032,SS45,132.439,Gossolengo,PC,352.0,15614,400
3399,SS342,67.783,Lurate Caccivio,CO,360.0,15586,150
16003,SS275,2.805,Muro Leccese,LE,361.0,15563,280
901001_NEW,A2,290.893,Martirano,CZ,357.0,15552,2472
251,SS16,422.222,Pineto,TE,360.0,15463,339
50022,SS16,222.605,Cattolica,RN,359.0,15380,326
412054,SS1,104.864,Montalto di Castro,VT,360.0,15329,1257
409005,SS223,61.751,Sovicille,SI,360.0,15313,713
501026,SS32,24.717,Pombia,NO,360.0,15244,308
50050,NSA313,0.991,San Lazzaro di Savena,BO,347.0,15139,340
950040_NEW,SS12,304.052,Sant'Ambrogio di Valpolicella,VR,363.0,15073,830
1001,SS99,5.074,Altamura,BA,359.0,15045,831
50055,SS9,130.76,Castelfranco Emilia,MO,343.0,14959,932
50021,SS16,216.62,Riccione,RN,350.0,14902,135
789,SS113,190.505,Cefalù,PA,360.0,14883,128
1151,SS233,65.434,Cugliate-Fabiasco,VA,296.0,14851,119
15026,A2,120.038,Casalbuono,SA,359.0,14805,2416
50037,SS63,99.582,Vezzano sul Crostolo,RE,352.0,14796,221
412042,SS2,21.162,Roma,RM,359.0,14795,123
50062,SS9,12.535,Savignano sul Rubicone,FC,352.0,14750,730
501030,SS393,6.121,Moncalieri,TO,349.0,14732,205
412034,SS6,73.198,Ferentino,FR,322.0,14658,196
209,SS13,44.777,Susegana,TV,211.0,14633,715
19008,SS115QUATER,0.959,Agrigento,AG,350.0,14595,144
517129,SS106,436.724,Pisticci,MT,360.0,14557,1897
50011,SS12,161.091,Maranello,MO,359.0,14511,756
19014,A29,48.973,Alcamo,TP,291.0,14459,839
1509,SS398,41.236,Piombino,LI,357.0,14390,837
515134,SS7,312.198,San Potito Ultra,AV,360.0,14237,465
1334,SS309,112.494,Campagna Lupia,VE,349.0,14234,2867
117,SS7,567.113,Matera,MT,360.0,14171,1067
15107,A2,355.558,Stefanaconi,VV,359.0,13991,2419
16019,SS172,44.043,Locorotondo,BA,360.0,13969,273
18013,A2,232.565,Bisignano,CS,360.0,13963,2234
3397,SS340,10.913,Laglio,CO,327.0,13910,162
862,SS554,15.701,Quartu Sant'Elena,CA,361.0,13806,237
50007,SS724DIR,3.11,Modena,MO,345.0,13752,941
411010,SS16,319.417,Castelfidardo,AN,360.0,13716,597
505071,SS14VAR,6.596,Portogruaro,VE,360.0,13650,545
900018,SS682,0.719,Rosarno,RC,314.0,13590,891
8,SS1,119.048,Montalto di Castro,VT,332.0,13506,1107
722,SS106,94.216,Portigliola,RC,360.0,13503,166
410004,SS318VAR,9.818,Valfabbrica,PG,360.0,13371,1002
632,SS85,35.267,Macchia d'Isernia,IS,340.0,13360,1369
19046,SS640,20.561,Favara,AG,360.0,13312,593
1891,A2,86.858,Atena Lucana,SA,360.0,13104,2524
409158,SS439,25.346,Lucca,LU,180.0,13089,80
3100,SS275,12.771,Surano,LE,360.0,13071,207
1896_NEW,A2,372.604,Mileto,VV,360.0,13022,2321
1332,SS309,68.175,Porto Viro,RO,283.0,12898,2667
19012,SS731,1.923,Alcamo,TP,360.0,12823,170
412056,SS6,47.03,Valmontone,RM,360.0,12807,265
