Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
915,SS131DIR,Cagliari,CA,52198,721,915,39.266333,0.0,9.095745,0.0
900012,A2,Salerno,SA,52044,5738,900012,40.698497,0.0,14.81921,0.0
671_NEW,A2,Salerno,SA,52022,5882,671D - 671A,40.7211,40.707198,14.7777,14.779293
920072,SS75,Perugia,PG,51678,2174,920072,43.085748,0.0,12.484123,0.0
1384,SS336,Gallarate,VA,49971,1778,1384,45.643176,0.0,8.792637,0.0
15102,A2DIR-NA,Salerno,SA,46849,2145,15102A - 15102D,40.686527,40.68536,14.769635,14.76174
50091,SS9VAR,Parma,PR,46446,1515,50091,44.809722,0.0,10.351667,0.0
16022,SS100,Capurso,BA,44525,2096,16022A - 16022D,41.054695,41.05476,16.910297,16.910405
15104,A2,Battipaglia,SA,42219,4375,15104A - 15104D,40.61776,40.618086,14.980985,14.981006
2275,RA10,Borgaro Torinese,TO,42118,1120,2275,45.146165,0.0,7.688464,0.0
16008,SS694,Lecce,LE,41579,1412,16008A - 16008D,40.354058,40.353888,18.131475,18.131668
16027,SS16,Molfetta,BA,40963,2580,16027A - 16027D,41.184878,41.18504,16.593582,16.593968
3523,SS554,Monserrato,CA,40890,876,3523,39.265077,0.0,9.12524,0.0
1898_NEW,A2DIR-RC,Reggio di Calabria,RC,39571,522,1898A - 1898D,38.1379,38.137201,15.6603,15.66027
50001,SS9VAR,Parma,PR,39291,2558,50001,44.816653,0.0,10.276572,0.0
50006,SS725,Piacenza,PC,39062,1861,50006,45.028101,0.0,9.700963,0.0
508040,SS9VAR-A,Parma,PR,36347,980,508040A - 508040D,44.79726,44.779891,10.28182,10.30015
16006,SS694,Cavallino,LE,36072,960,16006A - 16006D,40.323085,40.327248,18.175807,18.144263
3226,A29,Carini,PA,35911,1075,3226,38.174265,0.0,13.215403,0.0
10051,SS36,Abbadia Lariana,LC,35829,1038,10051 - 910051,45.883128,45.883536,9.364547,9.363265
412013,SS2,Formello,RM,35347,553,412013,42.064215,0.0,12.372711,0.0
19016,A29,Cinisi,PA,34754,1135,19016,38.179098,0.0,13.127675,0.0
513136,SS714,Pescara,PE,34282,658,513136D - 513136A,42.435488,42.435682,14.209978,14.213543
WIM,RA15,Sant'Agata li Battiati,CT,32414,1715,WIM,37.554568,0.0,15.086287,0.0
10029,RA3,Monteriggioni,SI,31002,1668,10029,43.389623,0.0,11.262397,0.0
412026,SS5,Guidonia Montecelio,RM,30794,773,412026,41.9481,0.0,12.6772,0.0
10035,SS712,Malnate,VA,30215,970,10035,45.786852,0.0,8.86462,0.0
409008,SS719,Agliana,PT,30184,646,409008,43.889977,0.0,11.017578,0.0
19079,A19,Altavilla Milicia,PA,29961,1598,19079D - 19079A,38.046608,38.041362,13.552063,13.558973
503062,SS9,Lodi,LO,29030,1530,503062A - 503062D,45.304687,45.30469,9.480552,9.480117
19080,A29,Cinisi,PA,28525,1088,19080A - 19080D,38.138608,38.15571,13.10111,13.114027
508060,SS724,Fiorano Modenese,MO,28361,1938,508060A - 508060D,44.553686,44.559528,10.816283,10.818373
3207,SS613,Squinzano,LE,28041,1746,3207,40.478252,0.0,18.045645,
16012,SS7,Taranto,TA,27827,1409,16012A - 16012D,40.508168,40.508748,17.275978,17.277545
127,SS7BIS,Avellino,AV,27817,343,127,40.902105,0.0,14.803795,0.0
50019,SS16,Rimini,RN,27778,737,50019,44.098314,0.0,12.499208,0.0
452,SS45BIS,Prevalle,BS,27574,1891,452,45.533537,0.0,10.403705,0.0
15010,RA2,Solofra,AV,27363,556,15010,40.837458,0.0,14.841477,0.0
10036,SS336DIR,Lonate Pozzolo,VA,27101,1627,10036,45.590748,0.0,8.714518,0.0
